ashmem_pss_kb,ashmem_rss_kb,at,command,cpu_pct_one_core,cpu_pct_ps,elapsed_s,fd_count,java_pss_kb,minutes,native_alloc_kb,native_pss_kb,phase,physical_footprint_kb,pid,platform,ppid,pss_kb,role,round,rss_kb,system_visible,threads,view_roots,views,vmmap_file,window_visible
,,2026-09-06T09:40:25+08:00,,,,0.771,112,12724,0.016666666666666666,39677,37484,preflight,,26438,,,99912,KBoard (30s),0,239824,True,46,2,812,,True
,,2026-09-06T09:40:55+08:00,,6.977,,31.441,144,12472,0.5166666666666667,39716,36403,home-resume,,26438,,,98454,KBoard (30s),1,238516,True,46,2,812,,True
,,2026-09-06T09:41:26+08:00,,8.114,,62.251,185,15440,1.0333333333333334,42682,38399,focus-switch,,26438,,,103617,KBoard (30s),1,243676,False,46,2,812,,False
,,2026-09-06T09:41:57+08:00,,8.342,,93.177,143,21312,1.55,44378,39479,show-hide,,26438,,,110509,KBoard (30s),2,250584,True,46,4,831,,True
,,2026-09-06T09:42:28+08:00,,8.127,,124.061,143,12552,2.066666666666667,40201,37159,home-resume,,26438,,,99517,KBoard (30s),2,239604,True,46,2,811,,True
,,2026-09-06T09:42:59+08:00,,7.449,,154.939,142,16652,2.5833333333333335,41890,39899,relay-recreate,,26438,,,106246,KBoard (30s),2,246524,True,46,2,812,,True
,,2026-09-06T09:43:30+08:00,,9.395,,185.702,139,19884,3.1,45788,40491,show-hide,,26438,,,109995,KBoard (30s),3,250332,True,46,4,831,,True
,,2026-09-06T09:44:00+08:00,,6.626,,216.488,138,14344,3.6,41520,38879,home-resume,,26438,,,102963,KBoard (30s),3,243304,True,46,2,812,,True
,,2026-09-06T09:44:31+08:00,,8.801,,247.281,151,15028,4.116666666666666,41731,39463,relay-recreate,,26438,,,104190,KBoard (30s),3,244500,True,47,2,812,,True
,,2026-09-06T09:45:03+08:00,,8.292,,279.24,147,13280,4.65,40489,37303,show-hide,,26438,,,100311,KBoard (30s),4,240700,False,47,2,811,,False
,,2026-09-06T09:45:34+08:00,,7.671,,310.134,144,14736,5.166666666666667,42175,38787,focus-switch,,26438,,,103428,KBoard (30s),4,243768,True,47,2,812,,True
,,2026-09-06T09:46:05+08:00,,8.872,,341.016,151,14988,5.683333333333334,41702,38911,relay-recreate,,26438,,,103661,KBoard (30s),4,244120,True,47,2,812,,True
,,2026-09-06T09:46:36+08:00,,7.721,,371.969,147,13036,6.2,39802,37447,home-resume,,26438,,,100368,KBoard (30s),5,240844,True,47,2,811,,True
,,2026-09-06T09:47:07+08:00,,7.474,,402.874,146,14528,6.716666666666667,41761,38599,focus-switch,,26438,,,103096,KBoard (30s),5,243488,True,47,2,812,,True
,,2026-09-06T09:47:38+08:00,,8.505,,433.682,134,22204,7.233333333333333,44324,39643,show-hide,,26438,,,111768,KBoard (30s),6,252260,True,47,4,829,,True
