role,metric,n,first,minimum,peak,last,median,delta,delta_per_hour,slope_per_hour,last_hour_slope
KBoard (30s),pss_kb,352,99912,98454,119455,100271,104442.5,359,119.500693481276,504.844016065084,1134.689010992602
KBoard (30s),rss_kb,352,239824,238516,261512,242184,245836.0,2360,785.5755894590845,1019.4370291721705,1534.2550894667656
KBoard (30s),native_pss_kb,352,37484,36371,40895,36371,39065.0,-1113,-370.4854368932039,89.44221247367416,-113.27425284000714
KBoard (30s),native_alloc_kb,352,39677,38207,45788,38207,40969.0,-1470,-489.32038834951453,-252.54104124643672,-415.7266613893778
KBoard (30s),java_pss_kb,352,12724,12328,27960,12424,14528.0,-300,-99.86130374479889,-53.03356309045411,906.5776059452103
KBoard (30s),cpu_pct_one_core,351,6.977,5.57,10.388,5.747,8.114,-1.2300000000000004,-0.4105702364394994,-0.01850530322484226,-0.1446896195073994
KBoard (30s),fd_count,352,112,104,190,105,147.0,-7,-2.3300970873786406,-0.035323729108399746,-5.411106353444081
KBoard (30s),threads,352,46,46,52,52,51.0,6,1.9972260748959776,1.5705886242945384,0.0
pad:com.newlink.kemi.kboard,pss_kb,168,102734,99155,113446,100483,102761.0,-2251,-782.3361746566256,1442.2029041239462,-1294.368846752405
pad:com.newlink.kemi.kboard,rss_kb,168,243248,239768,255096,242396,244238.0,-852,-296.1130256807841,1924.4960305859815,-886.8762086811932
pad:com.newlink.kemi.kboard,native_pss_kb,168,38463,36371,41623,36371,38565.0,-2092,-727.0756452161976,339.13434460471757,-534.404740130238
pad:com.newlink.kemi.kboard,native_alloc_kb,168,41207,38205,44704,38205,40709.0,-3002,-1043.346599875251,222.92782208547544,-967.9674322861599
pad:com.newlink.kemi.kboard,java_pss_kb,168,14468,12260,22156,12676,13452.0,-1792,-622.8104953285975,666.7881609815553,-1085.3457151707105
pad:com.newlink.kemi.kboard,ashmem_pss_kb,168,131,131,131,131,131.0,0,0.0,0.0,0.0
pad:com.newlink.kemi.kboard,ashmem_rss_kb,168,656,656,656,656,656.0,0,0.0,0.0,0.0
pad:com.newlink.kemi.kboard,cpu_pct_one_core,166,8.691,3.798,9.084,3.798,8.113,-4.893000000000001,-1.7108198503090444,-0.06514234853809264,-0.5171483282932477
pad:com.newlink.kemi.kboard,fd_count,168,148,104,190,105,147.0,-43,-14.944671483889339,-1.071940033943237,-7.058017849797004
pad:com.newlink.kemi.kboard,threads,168,47,47,52,52,51.0,5,1.7377524981266672,1.355281295282266,0.0
pad:com.newlinksz.kemi.remote,pss_kb,168,388505,384292,407517,402472,401127.0,13967,4854.2378282670325,6819.758882669329,216.6125549217396
pad:com.newlinksz.kemi.remote,rss_kb,168,614608,610452,646524,641388,639574.0,26780,9307.40237996643,11496.518757219215,333.7387425331701
pad:com.newlinksz.kemi.remote,native_pss_kb,168,210612,208343,219011,214079,213177.0,3467,1204.957582201031,2172.399612107365,156.33113060721914
pad:com.newlinksz.kemi.remote,native_alloc_kb,168,222798,220933,230923,226839,226305.0,4041,1404.4515689859725,2165.7573420587837,359.78155592633544
pad:com.newlinksz.kemi.remote,java_pss_kb,168,5572,3704,5572,3704,3920.0,-1868,-649.2243333001229,-13.496269660772915,-22.75300713078534
pad:com.newlinksz.kemi.remote,ashmem_pss_kb,168,86403,86403,99107,99107,98997.0,12704,4415.281547240236,4609.907089004985,97.45961958247412
pad:com.newlinksz.kemi.remote,ashmem_rss_kb,168,173316,173316,198724,198724,198504.0,25408,8830.563094480473,9219.81417800997,194.91923916494824
pad:com.newlinksz.kemi.remote,cpu_pct_one_core,166,173.294,63.26,203.778,203.778,161.4405,30.48399999999998,10.658620951731221,4.819879056030024,6.495524216349915
pad:com.newlinksz.kemi.remote,fd_count,168,264,264,264,264,264.0,0,0.0,0.0,0.0
pad:com.newlinksz.kemi.remote,threads,168,155,122,155,131,135.0,-24,-8.341211991008002,1.3079193512278773,-2.1298490210210503
mac:main,rss_kb,168,147360,147248,282608,254720,244864.0,107360,37313.0216397758,20719.775821169485,-2314.650611452969
mac:main,physical_footprint_kb,34,639897.6,639897.6,946483.2,898048.0,839270.3999999999,258150.40000000002,90645.26084473262,75497.90102926103,68071.12157365323
mac:main,cpu_pct_one_core,166,17.651,8.897,23.139,13.519,15.380500000000001,-4.132,-1.44473893755916,-0.7707002361157484,-0.14364721849953602
mac:main,fd_count,168,97,95,102,98,98.0,1,0.34755049962533346,1.4433147248212272,0.4545013331201675
mac:main,threads,168,74,73,91,78,79.0,4,1.3902019985013339,1.2631967202223513,1.1501286847465744
mac:--cm,rss_kb,168,99232,53648,115312,107616,94760.0,8384,2913.8633888587956,4297.134835257985,25550.400897452153
mac:--cm,physical_footprint_kb,34,79052.8,79052.8,91648.0,89395.2,89139.2,10342.399999999994,3631.5634055208207,716.4137259175624,-2534.2349036827577
mac:--cm,cpu_pct_one_core,166,2.496,1.125,2.537,1.803,1.6385,-0.6930000000000001,-0.24230495733990756,-0.12702576677697053,-0.3449510369383112
mac:--cm,fd_count,168,45,45,47,46,46.0,1,0.34755049962533346,0.4996363146908139,0.078054808440023
mac:--cm,threads,168,32,29,33,30,30.0,-2,-0.6951009992506669,-0.4082749333876375,-0.04268646624836004
